decade_id,term_str,n,tfidf
0,camp,2,0.003370224903156657
0,can,162,0.0
0,cancelled,1,0.0016851124515783284
0,candy,1,0.0003813314867804147
0,cannot,7,0.0012002873799456038
0,cant,124,0.0
0,canyons,1,0.0016851124515783284
0,capacity,1,0.0016851124515783284
0,car,5,0.0
0,card,1,0.0010332219691793715
0,cardboard,1,0.0016851124515783284
0,cards,1,0.0003813314867804147
0,care,26,0.0
0,caroline,5,0.008425562257891643
0,carry,2,0.00034293925141302967
0,carryin,1,0.0010332219691793715
0,cars,4,0.0006858785028260593
0,cart,1,0.0016851124515783284
0,case,3,0.0005144088771195446
0,cash,1,0.0003813314867804147
0,castles,1,0.0010332219691793715
0,casually,1,0.0010332219691793715
0,casualties,1,0.0016851124515783284
0,casualty,4,0.006740449806313314
0,catch,6,0.0
0,catching,4,0.004132887876717486
0,cats,1,0.0003813314867804147
0,caught,6,0.0
0,cause,118,0.0
0,caused,1,0.000651890482398957
0,cavalry,3,0.003099665907538115
0,cavin,1,0.0010332219691793715
0,ccccant,1,0.0016851124515783284
0,ceelo,1,0.0016851124515783284
0,celebrity,1,0.0016851124515783284
0,certain,1,0.000651890482398957
0,cervantes,1,0.0016851124515783284
0,chain,1,0.0003813314867804147
0,chains,1,0.0003813314867804147
0,champagne,3,0.001955671447196871
0,champion,2,0.001303780964797914
0,chance,12,0.0
0,chances,1,0.0003813314867804147
0,change,30,0.0
0,changed,1,0.00017146962570651483
0,changes,9,0.0015432266313586337
0,changin,4,0.0006858785028260593
0,changing,7,0.002669320407462903
0,channels,1,0.0016851124515783284
0,chaos,1,0.0010332219691793715
0,chapters,1,0.0016851124515783284
0,chase,2,0.0007626629735608294
0,chasin,2,0.001303780964797914
0,chasing,14,0.005338640814925806
0,chcihcihfkdhfdisjfkla,1,0.0010332219691793715
0,cheap,2,0.00034293925141302967
0,cheating,1,0.0010332219691793715
0,check,1,0.00017146962570651483
0,cheek,2,0.002066443938358743
0,chemical,1,0.0010332219691793715
0,chest,4,0.0015253259471216588
0,chi,3,0.001955671447196871
0,chicago,1,0.0016851124515783284
0,chichi,1,0.0010332219691793715
0,chick,1,0.0010332219691793715
0,chicks,1,0.0003813314867804147
0,chih,1,0.0010332219691793715
0,child,3,0.0
0,childlike,1,0.0016851124515783284
0,children,4,0.0015253259471216588
0,childs,1,0.0016851124515783284
0,chimed,6,0.010110674709469972
0,chin,1,0.0016851124515783284
0,china,2,0.0007626629735608294
0,choice,5,0.0008573481285325743
0,choirs,3,0.005055337354734986
0,choking,2,0.002066443938358743
0,choose,4,0.002607561929595828
0,chop,2,0.001303780964797914
0,christmas,2,0.002066443938358743
0,chrome,4,0.004132887876717486
0,church,2,0.00034293925141302967
0,cia,1,0.0016851124515783284
0,cigarette,4,0.0015253259471216588
0,cinema,1,0.0016851124515783284
0,cinnamon,1,0.000651890482398957
0,circles,5,0.005166109845896858
0,circuits,1,0.0016851124515783284
0,cities,2,0.0007626629735608294
0,city,8,0.0
0,citys,1,0.000651890482398957
0,civilization,1,0.0016851124515783284
0,clad,1,0.0016851124515783284
0,clap,1,0.000651890482398957
0,class,2,0.00034293925141302967
0,clay,1,0.0016851124515783284
0,clean,1,0.00017146962570651483
0,clear,3,0.0
0,clearing,1,0.0010332219691793715
0,cleveland,4,0.006740449806313314
0,climb,1,0.00017146962570651483
0,clip,1,0.000651890482398957
0,clique,1,0.0010332219691793715
0,clock,1,0.0003813314867804147
0,clocks,2,0.003370224903156657
0,close,9,0.0
0,closed,1,0.00017146962570651483
0,closer,32,0.0
0,closet,2,0.002066443938358743
0,closin,2,0.002066443938358743
0,closing,6,0.003911342894393742
0,clothes,5,0.0008573481285325743
0,cloud,2,0.00034293925141302967
0,clouds,2,0.00034293925141302967
0,cloudy,1,0.0010332219691793715
0,clowning,1,0.0016851124515783284
0,club,1,0.00017146962570651483
0,cmon,2,0.00034293925141302967
0,coat,1,0.0010332219691793715
0,cobain,1,0.0016851124515783284
0,cock,8,0.013480899612626628
0,cocksucker,1,0.0016851124515783284
0,coincidence,1,0.0010332219691793715
0,cold,13,0.0
0,colder,2,0.001303780964797914
0,collecting,1,0.0016851124515783284
0,collided,1,0.0010332219691793715
0,color,1,0.000651890482398957
0,colors,1,0.0010332219691793715
0,colours,2,0.001303780964797914
0,combination,2,0.003370224903156657
0,come,146,0.0
0,comecome,10,0.010332219691793716
0,comes,9,0.0
0,comin,11,0.0
0,coming,85,0.0
0,command,1,0.0010332219691793715
0,common,1,0.0003813314867804147
0,commotion,1,0.0016851124515783284
0,communicator,1,0.0016851124515783284
0,company,1,0.00017146962570651483
0,compare,1,0.0010332219691793715
0,compares,3,0.003099665907538115
0,complain,1,0.000651890482398957
0,complete,2,0.001303780964797914
0,complex,8,0.008265775753434972
0,compromise,1,0.000651890482398957
0,con,1,0.0003813314867804147
0,concealed,3,0.005055337354734986
0,concern,1,0.0016851124515783284
0,concerts,1,0.0016851124515783284
0,concrete,5,0.008425562257891643
0,conditioned,1,0.0010332219691793715
0,condolences,1,0.0016851124515783284
0,cone,1,0.0016851124515783284
0,confess,3,0.001955671447196871
0,confession,2,0.002066443938358743
0,confidence,1,0.0010332219691793715
0,confined,1,0.0016851124515783284
0,conformity,4,0.006740449806313314
0,confused,4,0.002607561929595828
0,confusion,1,0.0010332219691793715
0,connect,1,0.0016851124515783284
0,connection,1,0.0003813314867804147
0,conquered,1,0.0016851124515783284
0,conscience,1,0.000651890482398957
0,consequences,1,0.0016851124515783284
0,conspire,1,0.0016851124515783284
0,constantly,1,0.000651890482398957
0,constellation,1,0.0016851124515783284
0,consume,1,0.0016851124515783284
0,consumed,2,0.003370224903156657
0,contact,2,0.001303780964797914
0,control,22,0.0
0,controlled,1,0.0016851124515783284
0,convince,1,0.000651890482398957
0,convinced,1,0.0016851124515783284
0,cookin,2,0.0007626629735608294
0,cookouts,1,0.0016851124515783284
0,cool,8,0.0
0,cooler,12,0.020221349418939945
0,cop,1,0.0010332219691793715
0,copper,1,0.0016851124515783284
0,cord,1,0.0016851124515783284
0,corner,19,0.007245298248827879
0,corners,2,0.002066443938358743
0,corridor,1,0.0016851124515783284
0,corruption,1,0.0016851124515783284
0,could,117,0.0
0,couldnt,7,0.0
0,couldve,1,0.0010332219691793715
0,count,6,0.0010288177542390892
0,counted,1,0.0016851124515783284
0,countin,1,0.000651890482398957
0,counting,2,0.002066443938358743
0,countless,1,0.0016851124515783284
0,country,1,0.000651890482398957
0,couple,1,0.0
0,courage,1,0.0016851124515783284
0,courtroom,1,0.0010332219691793715
0,courtside,1,0.0016851124515783284
0,cousin,2,0.003370224903156657
0,cover,7,0.002669320407462903
0,covers,2,0.003370224903156657
0,cowboy,1,0.0003813314867804147
0,cozy,1,0.0010332219691793715
0,crack,1,0.00017146962570651483
0,cracked,1,0.000651890482398957
0,crash,3,0.001955671447196871
0,crave,1,0.000651890482398957
0,craving,1,0.0016851124515783284
0,crawlin,1,0.0010332219691793715
0,crawling,1,0.000651890482398957
0,crazy,46,0.0
0,creates,1,0.0016851124515783284
0,creation,2,0.002066443938358743
0,credit,1,0.000651890482398957
0,creek,1,0.000651890482398957
0,creeping,1,0.0016851124515783284
0,crew,1,0.0010332219691793715
0,crews,1,0.0016851124515783284
0,crib,1,0.0010332219691793715
0,crip,1,0.0010332219691793715
0,crips,1,0.0016851124515783284
0,crisis,1,0.0010332219691793715
0,criteria,1,0.0016851124515783284
0,cross,1,0.0
0,crossed,1,0.000651890482398957
0,crosshair,2,0.003370224903156657
0,crowd,2,0.00034293925141302967
0,cruisin,1,0.000651890482398957
0,crunching,1,0.0016851124515783284
0,crushing,1,0.0016851124515783284
0,crust,1,0.0016851124515783284
0,cruz,1,0.0016851124515783284
0,cry,32,0.0
0,cryin,3,0.0005144088771195446
0,crying,1,0.0
0,crystal,1,0.0010332219691793715
0,cudi,1,0.0016851124515783284
0,cue,1,0.0010332219691793715
0,cuma,1,0.0016851124515783284
0,cup,2,0.00034293925141302967
0,cure,1,0.000651890482398957
0,curls,1,0.0016851124515783284
0,cursed,1,0.0016851124515783284
0,cussed,1,0.0010332219691793715
0,custody,1,0.0016851124515783284
0,cut,5,0.0
0,cute,1,0.000651890482398957
0,cuttin,2,0.002066443938358743
0,d,1,0.000651890482398957
0,dad,1,0.00017146962570651483
0,dadadadadada,1,0.0010332219691793715
