decade_id,term_str,n,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,fuse,1,0.0010332219691793,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,gang,1,0.0010332219691793,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,garden,2,0.0007626629735608,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,gentleman,3,0.0011439944603412,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,gift,2,0.0007626629735608,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,glad,7,0.0012002873799456,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,glitter,2,0.0033702249031566,NN,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,glow,5,0.0008573481285325,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,god,17,0.0,NNP,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0,good,56,0.0,JJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,grab,1,0.0003813314867804,VB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,graduation,1,0.0010332219691793,NN,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
0,grant,4,0.0067404498063133,NNP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,greed,1,0.0010332219691793,NN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,green,6,0.0,JJ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,guidance,3,0.0050553373547349,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,guide,6,0.0039113428943937,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,gun,12,0.0,NN,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,hail,1,0.0010332219691793,VBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0,hanging,4,0.000685878502826,VBG,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,happiness,2,0.0013037809647979,NNP,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,happy,10,0.0,JJ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,hate,19,0.0032579228884237,VBP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,haunt,1,0.0006518904823989,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,haunted,7,0.0072325537842556,VBN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,heal,1,0.0010332219691793,VB,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,heartache,2,0.0033702249031566,NN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,heavens,1,0.0,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,hell,40,0.0,NN,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,hero,1,0.0003813314867804,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,hit,6,0.0,VBD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,holiday,1,0.0003813314867804,NN,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
0,honest,5,0.0032594524119947,VBN,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0,honor,1,0.0016851124515783,NNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,hood,2,0.0007626629735608,NN,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0
0,hope,54,0.0,VBP,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
0,hopeless,2,0.0020664439383587,JJ,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,humanity,1,0.0016851124515783,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,hurricane,1,0.0006518904823989,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
